email,filial_id,reg_timestamp,orders_last_month,payment_sum
autem_porro@Devpoint.org,2,1436284626450093667,5,736.58
id_similique_officia@Twimbo.edu,1,1433558327873055087,4,601.39
vMendoza@Eazzy.com,1,1428242249514533111,1,1075.22
AnnaRamos@Skaboo.biz,1,1424771109331418274,5,4290.85
illo_illum@Thoughtblab.info,2,1426822321198161754,9,4677.69
JulieVasquez@Ntags.org,2,1402984228795546527,7,9153.53
JonathanMorales@Zazio.mil,1,1437046061600847114,1,821.11
RobertRyan@Dynazzy.name,2,1467267376732448765,4,4998.81
voluptatibus_ex_dolor@Skinder.biz,1,1405818855957359582,3,1420.82
CarlosMeyer@Dabfeed.mil,1,1425296328106877081,9,5949.36
0Black@Minyx.net,1,1452673383012420857,2,1176.31
lJordan@Flashpoint.name,1,1446283019334919666,19,23466.74
6Black@Tazz.gov,1,1451857768424337364,2,1758.22
BobbyBradley@Rhycero.edu,1,1461581678341235673,13,14724.47
JaneSimpson@Feedfish.edu,1,1469401974687833838,6,3880.01
AliceRogers@Linktype.com,2,1408015708834570997,2,1632.18
uMccoy@Buzzshare.name,1,1450380401964640190,0,0.00
JimmyHoward@Quatz.name,2,1457100446384144583,5,5168.30
bPhillips@Mynte.gov,2,1410593993111879528,7,6059.71
TammyRyan@Zoozzy.info,2,1467873079216074033,3,831.32
optio@Fatz.org,2,1435402650965355521,1,797.54
quasi_esse_omnis@Quatz.gov,1,1462151063399029788,7,4025.53
JosephRomero@Roombo.com,2,1417515667945691292,12,8160.91
1Austin@Flipbug.net,2,1457706995566524110,8,8477.30
BettyCastillo@Jabberstorm.info,1,1434614181022089585,10,2313.25
quia_aut_assumenda@Riffpath.gov,2,1434034680194835019,1,877.62
0Morrison@Mydo.gov,2,1404698491398823503,0,0.00
corrupti_amet@Cogibox.net,1,1434644201483940041,13,11319.52
DonaldJackson@Yakidoo.net,1,1418844886974419542,3,1923.72
a_suscipit_voluptas@Oloo.mil,2,1456256386138779305,0,0.00
recusandae_dolore@Eimbee.net,2,1443702822971798097,2,1370.46
repellendus@Voolia.biz,2,1405348191771169069,14,8990.03
voluptates@Skynoodle.mil,1,1422453307913406670,5,3574.38
necessitatibus@Quimm.mil,1,1443027845262346420,10,12911.46
JudithBerry@Gabcube.gov,1,1421340238910084022,5,2663.98
dicta_praesentium_voluptatem@Tanoodle.com,1,1429225341770451047,5,1949.27
quia_error_expedita@Tagchat.biz,2,1430057370702190558,1,806.10
BrandonCole@Trudoo.biz,1,1425031509607283774,15,11239.48
quidem@Twitterbeat.info,2,1408358986991083612,1,938.38
LoisColeman@Rhyzio.mil,2,1466639356265160647,10,6665.95
sunt_exercitationem_laborum@Shuffledrive.gov,2,1426830836335828228,5,5153.54
animi@Tekfly.edu,2,1431270682222044264,6,2638.56
assumenda@Kaymbo.net,1,1453793032797242352,3,3481.29
excepturi_ut_occaecati@Realpoint.biz,1,1424223494576654906,4,2552.15
et_inventore@Riffwire.com,2,1442871636841126428,11,1978.41
cStevens@Yacero.gov,2,1401719305404944121,5,2546.62
vitae_non@Abata.info,2,1454597863177531620,2,2054.87
hFrazier@Gabcube.edu,1,1434698011617048483,2,1205.27
zLee@Jaxspan.mil,2,1453782455589865214,4,1486.71
iMatthews@Skyble.gov,2,1438118354901360250,12,5307.87
molestias_et_non@Feedfire.edu,1,1449667155398725013,9,4959.74
AlbertGilbert@Devify.gov,1,1439473860577129928,2,1169.54
ut_ab_eveniet@Rhynyx.name,2,1463495772535245286,4,902.04
rBennett@Thoughtstorm.info,2,1407174089932608459,10,12839.45
aperiam_quam@Zoozzy.name,1,1470375169392230918,1,595.90
non_a@Gabvine.biz,2,1464626568504637524,2,1945.66
kHolmes@Rhyzio.info,2,1421976826397632267,13,14225.36
LoriAllen@Demimbu.org,1,1436687065382130240,14,11275.85
7Dunn@Youspan.com,1,1403346854632402323,7,5231.18
KellyOwens@Zoombeat.biz,2,1410750374968984611,2,642.83
maxime_excepturi@Jazzy.mil,2,1411120314276005455,3,3198.23
qLane@Agimba.net,2,1439183073862735889,5,4678.18
rWilliams@Yamia.mil,1,1415461541645843907,15,19265.73
DianeButler@Jabbertype.net,2,1405786611090998202,13,10337.68
odit_ut_temporibus@Oloo.biz,1,1402682552145597392,9,5300.48
oHughes@Plajo.net,1,1469783275912939131,6,4951.56
NormaReyes@Zoonoodle.info,2,1442086963886205345,0,0.00
RichardBrown@Edgeblab.org,1,1454620796096552307,3,1807.78
tenetur@Dabshots.org,2,1420205222642696624,4,3565.37
iRoss@Podcat.name,1,1401760335144778880,10,4510.02
aliquid_mollitia@Divape.edu,2,1432926701619105154,11,8597.19
et_sint_incidunt@JumpXS.name,1,1450364317509990586,0,0.00
mBennett@Jaxworks.org,2,1448775698212777704,6,6219.04
vel@Blognation.biz,1,1450773488648004234,4,3390.27
molestiae_totam_rerum@Feedfire.edu,2,1441338581335514745,2,1500.40
AngelaRice@Dabtype.mil,1,1450880076734321203,1,1247.85
RachelLynch@Quimba.net,1,1434741460419656631,12,11965.65
0Barnes@Zooveo.org,1,1416764355242593921,4,3296.98
zKing@Brightbean.gov,1,1443203035474830849,13,13387.83
enim_sapiente@Topicware.net,2,1450060998395274599,11,8348.81
aut@Topicshots.name,1,1457371193515250679,7,7039.31
pariatur_vitae@Photobug.name,1,1422668581272845927,7,5484.02
est_expedita@Edgeify.gov,2,1407029929883423568,8,7458.97
sPowell@Topicstorm.biz,2,1421836338696094117,12,10310.31
numquam@Brainlounge.org,1,1460521235957999490,11,15532.67
wKelley@Wordpedia.gov,1,1466175634873476596,8,1405.04
AndreaFoster@Roombo.info,2,1464542299633039775,12,6657.91
ut_magnam@Centizu.mil,2,1437769042727866665,7,2677.03
alias_unde_sit@Edgeblab.gov,2,1458371232357950955,0,0.00
AaronFerguson@Kamba.com,2,1453004423201338967,4,1563.70
ChristopherFoster@Skinix.net,2,1470248983984099283,3,2409.83
FrancesGeorge@Chatterbridge.com,2,1456582057199601736,9,8504.90
JosephRobinson@Flashspan.gov,1,1427757845751052708,4,3034.01
AnnDay@Youspan.net,2,1443591176849177615,12,5031.55
5Watson@Quimba.mil,1,1401967021868160539,9,440.95
RoyPeters@Bubblemix.name,1,1402022139272132324,10,9943.74
1Ford@Devcast.mil,2,1453796362945366018,6,2816.93
jGarrett@Mymm.com,2,1416976598881480753,6,3507.67
JuanHughes@Leenti.com,2,1449759201201161235,4,2590.63
7Nichols@Meevee.name,1,1460414905917084668,10,7360.23
pTucker@Ainyx.net,1,1466061398059914359,4,3609.51
tBlack@Edgewire.biz,1,1402244808632153022,10,6168.84
voluptas@Wikizz.net,1,1448994739171922973,3,1353.49
voluptate_ipsum_commodi@Pixonyx.org,2,1421330707194983791,2,200.55
KeithRodriguez@Yata.info,2,1429502277179948447,7,2292.81
3Freeman@Riffpath.info,1,1436663792087497996,4,3286.09
ut_numquam_consequuntur@Omba.org,1,1451343723377745015,1,609.38
JoanMoreno@Twitterworks.net,2,1438659059398409661,10,4214.23
PaulaCox@Vidoo.biz,1,1446150999377399721,14,10123.23
ea@Chatterbridge.gov,1,1456480130432395696,0,0.00
tMurray@Abatz.biz,2,1417750830384335756,0,0.00
DonaldDavis@Voonyx.biz,2,1431129556829602176,4,2206.15
PaulaBowman@Buzzbean.net,2,1403525019422455622,1,624.15
LauraRice@Demimbu.com,2,1403194642861085553,5,5800.58
KellyGriffin@Zoomzone.mil,1,1409310623520063340,6,5625.59
AntonioArmstrong@Mycat.mil,1,1415256926179482917,13,3065.32
ut@Twitternation.mil,2,1445418815161101428,9,5430.35
nostrum_vel@Edgetag.edu,2,1422049894666583599,8,6791.49
MarieLane@Edgeblab.info,2,1421977286982791609,5,3335.91
quam_amet_aut@Devbug.com,1,1424969126880923301,3,1947.99
et@Vipe.com,2,1453038509430221124,13,11710.29
soluta_sit_autem@Skaboo.biz,1,1427222270339798470,7,2282.57
cHowell@Eayo.name,1,1417588964412250870,15,12794.49
2Price@Fivebridge.edu,2,1435871890297050621,11,12872.05
SandraHart@Buzzshare.org,1,1431046289439390048,5,3695.04
impedit@Myworks.info,2,1437437780964150928,5,8110.65
AnnaBishop@Dynabox.edu,1,1422533104691403980,3,3395.92
sed_sit_ipsa@Aivee.com,2,1453214464424149930,11,12051.37
tFerguson@Demimbu.com,2,1450208446077570525,12,8938.89
wAustin@Talane.net,1,1434976907641286009,2,2553.51
earum_eius_sunt@Ailane.gov,1,1439554813781067466,3,2443.42
cupiditate_libero_laudantium@Fadeo.biz,2,1432033336310400056,14,20797.56
hStewart@Oyoyo.name,2,1415326287394019402,10,8799.31
quos_a_qui@Wikizz.name,2,1411921241031127928,6,8182.30
RonaldFowler@Babbleblab.biz,1,1429134018293783695,7,5189.98
ab@Kwinu.biz,1,1422749189254335615,6,5853.22
wKennedy@Feedmix.edu,2,1417315984203726909,8,10486.20
distinctio_aspernatur_voluptatum@Meedoo.edu,2,1422830763018198882,10,10882.85
KatherineMorgan@Dynabox.net,1,1409215769243648307,10,7634.08
porro_magni@Skipfire.net,1,1463127509851381003,2,686.91
jVasquez@Kwimbee.biz,2,1426874869317691596,4,2508.07
similique_autem@Jabberbean.org,2,1469776863227836776,11,8515.03
DebraTaylor@Voonder.gov,2,1428658525052606583,10,6612.84
lWebb@Yabox.net,2,1415009293981696284,9,4814.96
gRyan@Mydeo.name,2,1412136400766293902,1,1212.51
asperiores_quisquam_vel@Eadel.info,1,1461189994219641955,2,2289.86
vStewart@Twiyo.biz,2,1468188884941981972,2,2037.41
ErnestJohnson@Oozz.net,2,1402968615999466709,5,2631.84
voluptates_esse@Yacero.biz,2,1468372926716486911,1,278.84
ut_ducimus@Zoomcast.net,1,1430231661248443720,5,7067.28
possimus@Dynava.net,2,1417931052437616009,1,587.49
LouisYoung@Yabox.mil,1,1421639045481332588,8,5862.69
tempore_ipsa@Realbridge.name,1,1432716704080823125,2,2459.90
HowardSmith@Blogspan.mil,2,1412308287534101256,3,2082.99
2Rivera@Flashspan.name,2,1439767748899914623,13,9124.08
pHenry@Zava.edu,1,1441896947794500134,5,5943.95
mAnderson@Tambee.name,1,1422412229711862500,6,9597.29
2Price@Dabshots.org,1,1425126023956569784,2,1350.43
voluptatem_deleniti_eveniet@Thoughtblab.gov,2,1433283799072884174,9,6947.85
JuliaKim@Skilith.com,2,1456570690078515717,0,0.00
error_commodi_similique@Devshare.mil,2,1413395479126017800,3,1849.21
eShaw@Kwideo.mil,1,1423691296619015027,3,2548.15
4Anderson@Realmix.com,2,1461165691627493465,5,2663.14
6Montgomery@Trunyx.net,1,1407394259399961700,1,899.16
cHunt@Kayveo.gov,1,1465713456034625531,2,1772.04
7Wallace@Realcube.biz,2,1455764229332318684,11,13207.47
quae_cum@Skyble.edu,1,1432351033238009249,1,670.53
JenniferMoreno@Bubbletube.name,2,1456862746466443741,8,6800.57
eum@Quinu.gov,1,1427160554064053158,1,1027.32
laboriosam_optio@Wikido.mil,2,1452314509760374319,0,0.00
NancySanders@Thoughtstorm.com,2,1409102670835079232,8,6776.30
HowardColeman@Kimia.mil,1,1429044422708110885,3,2084.56
aut@Feedfish.mil,2,1430387754430314756,1,767.69
JeremyRyan@Eare.net,1,1436902073167123288,6,2910.41
HelenCarroll@Gigazoom.edu,2,1416907418298185889,7,10084.19
VictorGeorge@Quire.name,2,1402945028694980834,2,2045.90
BenjaminJenkins@Brainverse.gov,1,1449145860712158063,11,10001.38
mPrice@Jabbersphere.info,1,1461968622252856315,7,7374.69
iSpencer@Eamia.org,2,1451050121858514075,2,1642.98
et@Skyba.net,1,1403524649830220399,1,567.83
BenjaminBurns@Aimbu.info,1,1418202536295957770,10,11979.25
AmyFlores@Youspan.info,1,1417387395178845777,4,2901.76
numquam@Photojam.org,1,1409700044537312238,3,2184.50
ut_minus_dolore@Fatz.edu,2,1462410560914804419,8,8317.66
modi_ad_ducimus@Buzzdog.gov,2,1451225717583969558,9,7271.19
AnneHansen@Oyonder.org,1,1415938525356414405,6,4522.41
hic_beatae@Dynazzy.org,2,1416775442360308772,0,0.00
AshleyCarpenter@Yakitri.org,2,1460765183916569778,7,7265.17
TimothyWard@Eire.edu,2,1422873047969883101,5,2661.76
1Burke@Babbleopia.com,2,1402035447650052855,2,2241.74
nHenry@Brainlounge.info,1,1406464389015308378,1,827.86
KeithGarza@Jaxworks.name,2,1462249630513997236,2,1970.02
nihil_qui@Ntag.biz,2,1448995321977741306,8,6088.73
ElizabethFowler@Yoveo.gov,2,1433074042508107095,5,1672.83
SarahWilliamson@Buzzshare.gov,2,1431864763011073773,8,6642.64
dolores_ducimus_explicabo@Skipfire.biz,1,1419489272368412731,8,8442.87
facilis_eos@Cogidoo.info,2,1451911634001376591,1,646.96
iOlson@Realcube.info,2,1459392581246824589,9,9599.01
consequuntur_qui@Livefish.edu,1,1413940683117720777,6,4232.06
yHenderson@Brightbean.name,2,1413566012764481057,0,0.00
0Hunter@Realmix.mil,1,1434366311201079196,3,2152.50
8Gardner@Mycat.org,2,1426941386036104254,7,7135.68
JamesHarris@Zoomzone.biz,2,1434380760031654086,4,3654.13
VirginiaRoberts@Thoughtsphere.gov,1,1420959392383175755,1,782.16
esse_tenetur@Ainyx.com,1,1422683099114995848,1,479.34
AnnaPeterson@Yodel.edu,2,1446674592234309597,5,5110.59
oGriffin@Oba.mil,2,1463370306778469079,0,0.00
eos_aliquid@Thoughtstorm.org,2,1464036385266683743,11,12914.15
LisaWilliamson@Tagtune.mil,1,1431343033886546804,15,15856.70
RichardWhite@Twitterwire.org,1,1428749090872389179,3,3546.02
lHall@Gabtype.name,2,1402324826394793538,6,5500.02
aTaylor@Dabtype.edu,1,1443670396314016585,16,12676.37
oWatson@Lazz.name,2,1422011232155655572,9,7691.89
qGeorge@Photolist.name,2,1439472040919251839,11,12831.37
JerryPatterson@Ntag.name,2,1445223075125282216,12,14738.67
AnnaOlson@Thoughtbeat.mil,2,1458583126752589741,10,4843.44
MichaelOliver@Realmix.mil,1,1463327428323537534,13,10009.14
ex_dolores@Rhybox.edu,2,1410243726892094847,11,14249.22
aut_in@Photobean.mil,1,1463030949934945538,3,3554.88
aperiam@Mybuzz.org,1,1420066002795908920,9,7612.43
quis_nisi_iure@Devshare.info,1,1462386089171988233,7,9394.31
KellyWalker@Skalith.biz,2,1406293432607090268,7,4427.97
perferendis_et@Twinder.gov,1,1419564074822538912,7,3621.69
gKennedy@Skynoodle.mil,1,1464344235530950305,8,6393.77
AmandaCarter@Yotz.name,1,1459381298130899640,2,2130.22
cGriffin@Pixonyx.mil,2,1461971627877406868,4,3524.29
JosephRussell@Livepath.info,1,1408797440842547434,9,6890.74
qui@Brainlounge.net,2,1436361541248246658,7,5791.14
BeverlyHart@Topicstorm.biz,1,1405063445532198409,6,1315.46
ut@Flashspan.net,1,1458595453685169997,4,2372.70
quaerat@Snaptags.name,1,1439944818322705764,6,8152.75
sBowman@Tambee.name,1,1411092145279355467,6,5522.65
jCook@Tazz.edu,1,1419738522605783086,3,2204.65
quos_dolores@Dynava.gov,1,1424613369956471405,3,1246.83
StevenWard@Plajo.org,1,1430199177395971893,0,0.00
BobbyNelson@Eimbee.edu,1,1417055654540288320,4,4519.64
et@Skajo.com,1,1428384118534447277,6,2993.63
AlanAdams@Ntag.org,1,1442194415034870892,7,3136.69
rMorrison@Lajo.net,2,1440746450617825854,3,1703.57
JohnHanson@Edgepulse.org,1,1418260371549898854,5,6868.83
StephenReynolds@Ooba.gov,1,1408428638436099632,7,7211.16
jRichardson@Jaxbean.edu,2,1445761014289838383,5,5303.17
hFreeman@Skalith.edu,2,1435592943332255772,7,5258.74
PeterCruz@Kwimbee.name,1,1452964558923201940,6,4646.71
sJordan@Trudeo.info,1,1462288108794289978,4,3764.54
aRay@Thoughtmix.net,2,1443038288504271327,8,2858.31
CarlosAndrews@Edgeify.net,2,1436112446343634858,3,2284.71
JonathanCastillo@Livefish.com,1,1423927033547721466,9,5320.97
bPierce@Linktype.org,2,1429360456232861737,2,1347.55
hRodriguez@Photobean.net,1,1430623786866039376,8,6521.47
tMartinez@Mycat.name,2,1429299219521003787,4,2834.92
ex_mollitia_sint@Thoughtstorm.name,1,1450839239091738190,10,6721.66
WilliamWheeler@Skipfire.mil,2,1440919798257055079,2,1694.21
quidem_ab@Voonte.net,1,1469299220963539207,4,4320.80
CraigJordan@Flashpoint.gov,1,1409172018449761099,2,1014.86
debitis@Tagtune.org,2,1417946703882145191,6,6800.89
atque@Nlounge.info,1,1444307474389987404,10,6088.73
similique_voluptatibus@Latz.biz,1,1452852230270019198,5,2731.22
ClarenceLane@Meevee.org,2,1452804141606727839,6,3681.85
jDuncan@Meetz.edu,1,1447588119907287983,5,4892.84
LawrenceArmstrong@Skimia.gov,2,1415488404120585592,1,791.53
qStewart@Yotz.org,2,1467154688662980101,2,2158.22
zHamilton@Babblestorm.edu,2,1424250245801823976,1,846.19
pCarr@Kwimbee.com,2,1434219132090378359,7,8465.58
JeffreyRobinson@Zoomdog.biz,1,1412857796783594332,6,6005.39
RebeccaGordon@Devcast.name,2,1453634609346183462,7,9210.76
bBurton@Janyx.mil,2,1424593125471197589,4,2756.34
ElizabethCrawford@Twitterworks.gov,1,1460401500831686093,3,2350.85
JudyLawrence@Twimm.name,1,1465133224397649067,3,2646.02
PatrickMeyer@Yacero.info,2,1440638317390141419,9,7653.56
wFranklin@Eayo.biz,2,1407744527239257262,5,2292.86
WillieBell@Thoughtmix.net,2,1446509098869839793,1,948.61
velit@Jayo.biz,1,1417376710130864336,8,7029.59
aSanders@Plajo.name,2,1465488876932261216,10,5281.17
officiis_neque@Edgewire.gov,1,1402078075775479039,10,10115.41
velit_autem_rerum@Wikivu.mil,2,1412948364432993452,0,0.00
RubyFreeman@Meevee.info,2,1422342048693167335,3,3905.03
ut_fugit_sit@Twitterwire.com,1,1427400937404730917,3,1044.39
JoanJohnston@Kare.info,1,1424529066121013681,12,12316.46
hFoster@Rhyloo.org,1,1415640283153239442,14,12725.75
ChristinaBishop@Fiveclub.edu,2,1431371497085575970,2,1390.52
dHenderson@Blogtag.info,1,1442763661358690309,6,4010.55
et_delectus_exercitationem@Dabvine.net,1,1436989287438440649,3,1263.32
totam@Tazz.net,2,1442123562171165702,7,9554.99
tempore_ratione_labore@Dynava.name,2,1457023715213456502,4,2500.97
5Ramos@Buzzster.edu,1,1468640236301351290,3,2546.28
8Little@Eadel.org,1,1424633419189191814,1,1362.89
5Perkins@Oodoo.biz,1,1460523132706847310,8,8897.98
modi@LiveZ.net,1,1402868572639012748,9,8566.20
PeterLee@Kayveo.gov,2,1411107863009602967,1,881.88
dignissimos_similique_libero@Quimba.com,2,1421742216467562485,10,13706.81
JonathanCarter@Jamia.info,2,1443800658917320070,7,7215.43
9Morrison@Rhynyx.name,1,1418683032029555126,2,1763.16
enim@Vinder.org,2,1416471700713821232,13,6754.94
GloriaRodriguez@JumpXS.gov,2,1406011451505451865,5,1271.40
cWilliamson@Pixope.biz,1,1434578137321754621,13,7188.24
CarolynWebb@Skynoodle.net,1,1456878651356867560,4,2717.62
vitae_id_officia@Ainyx.info,2,1446077851068284703,5,4807.58
MildredLawrence@Brainsphere.mil,2,1458161640557271867,12,13514.21
HarryTucker@Cogilith.gov,1,1408703900646347328,1,486.19
qAnderson@Feedfire.info,1,1419368811981010886,3,1171.23
aut@Gigabox.biz,1,1438910040957822459,6,5247.92
quisquam_aperiam@Yoveo.org,1,1401838844335466677,7,7548.52
ut_quia@Blogtag.mil,2,1402111187444027408,12,9459.78
DeniseDunn@Aimbu.info,1,1415647955881778005,9,8818.02
debitis_vel_est@Meeveo.info,2,1461747266871611566,7,5735.01
qRay@Voonix.info,1,1434492303033067479,1,1002.57
EricDiaz@Yoveo.org,2,1453452582533065957,5,4778.59
BonnieTaylor@Jatri.name,2,1418736697734145008,2,626.66
KathleenAnderson@Thoughtblab.info,2,1456392549497487231,1,1474.33
JoseWheeler@Dynabox.info,2,1421485998248920490,14,14063.08
JudithBennett@Skinder.net,2,1417053497212395197,6,4948.50
nisi_facilis_asperiores@Lazz.name,2,1462005752587457923,5,6141.25
pGordon@Flipstorm.mil,2,1428184111614568577,5,1523.61
FrancesBell@Dazzlesphere.biz,1,1468340981290723271,7,2842.47
5Peterson@Mynte.gov,1,1428193019026227315,1,1279.33
oRussell@Feedspan.gov,2,1403574350170437863,13,17560.76
JanicePrice@Thoughtsphere.org,1,1462832016287038230,0,0.00
jBarnes@Roomm.gov,2,1452359447154994441,5,3395.50
distinctio_ut@Jaxnation.gov,1,1454408586320804429,12,8236.50
MichaelCooper@Vitz.biz,2,1456119393660611317,2,1853.44
nihil@Twimm.net,2,1424864282341211591,3,2655.51
fugiat_aliquid@Realfire.info,1,1468763749608701734,0,0.00
rerum@Thoughtblab.info,1,1457028994340010705,10,7945.04
dolore_sed@Shufflester.gov,1,1455321578684437366,4,3043.56
yArmstrong@Topicshots.net,2,1465745153111506011,5,4001.51
dHoward@Omba.mil,2,1432078646854762292,10,2726.53
BeverlyRay@Skimia.gov,1,1403429158821763878,8,9705.17
quis_doloribus@Brightbean.net,2,1430801922932028336,5,5517.41
quia@Teklist.com,1,1466410542288507419,11,10469.57
JenniferNguyen@Ozu.edu,1,1441236775166143944,7,2756.74
RobinWilson@Kazio.com,1,1425735992324787651,12,4018.17
voluptatem_eaque_tempora@Blogtags.info,1,1454101657464785676,4,3166.53
hGrant@Twinder.biz,1,1402926670306102231,6,83.64
qMorales@Quamba.edu,1,1419806971948717618,13,12177.42
ScottReynolds@Browsecat.name,2,1412083874345935503,2,2008.20
consequatur@Eire.gov,1,1436803114564131375,9,772.65
8Bowman@Fivespan.name,2,1413670794640195671,12,3445.27
JimmyYoung@Meevee.name,2,1436005576698566347,10,9843.81
yMeyer@Ntag.gov,1,1442379111808110416,3,3354.96
qui_ut@Chatterpoint.gov,2,1443992707861386076,4,1964.49
PaulaKelly@Fliptune.com,2,1468754784797861932,1,863.79
similique@Flashpoint.net,2,1455766165689832129,9,7801.91
9Garrett@Yambee.net,2,1435732008937969481,5,4228.51
dolor_illo@Eadel.edu,2,1426186552561485489,4,2337.35
JackLopez@Livetube.com,2,1408855107470093576,1,1182.01
uJohnston@Twitterlist.mil,1,1408472458113977679,5,4574.50
9Griffin@Realfire.com,1,1442397999664307762,1,755.37
hBoyd@Wordware.edu,1,1419062905241313200,8,7999.99
0Ford@Thoughtbridge.com,2,1465787503310916549,1,1158.00
JeremyPatterson@Skipstorm.org,2,1404799689480539206,3,2504.14
ChristopherBurke@Edgeclub.biz,2,1415643153343437091,6,5033.62
hMason@Zoombox.mil,2,1412320487885185951,7,752.02
FredMorgan@Thoughtstorm.info,2,1406011812588346618,1,783.07
uBaker@Gigaclub.gov,2,1442743438295946392,2,268.30
SaraButler@Fadeo.gov,2,1426587549577545417,9,10714.44
dignissimos_voluptas_ipsam@Flashspan.name,1,1425732960824592875,10,10027.39
DeborahGraham@Vitz.edu,2,1410420640023618669,6,6858.20
StephanieJacobs@Oyonder.edu,2,1449850638520459664,2,803.06
CatherineBryant@Aimbu.name,1,1424696490048157166,10,7903.76
iHolmes@Skajo.mil,1,1411240405937986995,3,2346.89
JoeDixon@Lazzy.net,1,1442818447938028151,10,9926.20
rRobinson@Devify.com,1,1424828653889631276,4,3634.74
HelenWright@Feednation.org,1,1443464680765717314,0,0.00
necessitatibus_qui@Skiptube.gov,2,1462607638151017234,4,2854.74
suscipit_laboriosam_quos@Trilith.net,2,1448876532790899540,2,1897.28
officiis_et_ratione@Shufflester.net,2,1427934067783918047,5,2429.71
porro_fugit_ut@Skyndu.org,1,1408398845659182872,1,586.03
vWilliamson@Photobug.name,1,1404911169822093562,9,7077.11
eius_porro@Youspan.mil,1,1413020421491720148,9,12475.15
StephenTaylor@Linkbridge.net,2,1411552639320524875,5,3093.37
ut_velit_impedit@Meevee.net,2,1403461488239691137,15,14904.51
asperiores_sit_voluptates@Shufflebeat.net,2,1447944566707810545,1,929.18
uPalmer@Flashset.name,2,1470415174067559753,2,447.28
expedita_sapiente_ut@Realbuzz.edu,2,1444855108162143052,5,1525.17
quos_ipsam@Oyoba.org,1,1410536838318279520,3,1845.86
magni_maxime@Pixoboo.org,1,1464281181549124066,7,7226.69
xEllis@Meeveo.mil,1,1424946436512744366,5,2963.08
MarilynReid@Talane.mil,2,1463485779096542547,11,7087.06
VirginiaMiller@Gigaclub.info,2,1455982690598805154,3,3571.14
uTucker@Buzzbean.org,2,1403735976826736795,8,3912.72
KathyMendoza@Thoughtbridge.mil,1,1427400729877127989,0,0.00
ChristopherBlack@Katz.edu,2,1466867056898167861,1,1042.08
vero@Babbleset.edu,2,1406457460075943029,6,2709.84
et_dolor@Voonyx.com,2,1437946158034452545,6,6041.27
HaroldLopez@Flashspan.net,2,1448911988754880017,11,3974.45
quae@Bubblemix.com,1,1448489644007044104,4,2045.58
assumenda_ea_voluptatem@Zoomcast.info,1,1418343794078526801,4,4286.19
1Armstrong@Tagtune.name,1,1466900405279196182,5,3789.24
ipsam_neque_ipsum@Flashset.biz,2,1419805090402139805,4,2942.75
perspiciatis_enim@Thoughtstorm.gov,2,1401669991619996121,3,2924.68
MelissaKelly@Skaboo.name,2,1466775513035054916,4,3638.73
LouiseGarza@Feedfire.info,1,1443654738351906550,7,8266.17
LoisGarza@Brightbean.com,1,1435163033427343444,5,4893.44
earum_pariatur_saepe@Feedbug.com,1,1438146571952680976,3,2688.23
quidem_tenetur_consequatur@Quamba.net,1,1421929284247529243,7,6417.38
9Willis@Eidel.com,2,1417148689106990119,0,0.00
